CAMG,CLIME CAPITAL LIMITED ,0.98, 
CVCG,CVC LIMITED ,100.5, 
IANG,IAG FINANCE (NEW ZEALAND) LIMITED ,102.66, 
KBLGA,KBL MINING LIMITED,0.1, 
NFNG,NUFARM FINANCE (NZ) LIMITED ,86.8, 
NSCG,NAOS SMALL CAP OPPORTUNITIES COMPANY LIMITED,100.5, 
RSGG,RESOLUTE MINING LIMITED ,1, 
8COO,8COMMON LIMITED ,0.02, 
A3DO,AURORA LABS LIMITED ,0.17, 
ACWOB,ACTINOGEN MEDICAL LIMITED ,0.013, 
ADNOB,ANDROMEDA METALS LIMITED,0.003, 
AEBO,ALGAE.TEC LIMITED ,0.004, 
AGEO,ALLIGATOR ENERGY LIMITED,0.003, 
AKMOA,ASPIRE MINING LIMITED ,0.01, 
AMDOA,ARROW MINERALS LTD,0.003, 
ANPOB,ANTISENSE THERAPEUTICS LIMITED,0.006, 
AO1O,ASSETOWL LIMITED,0.001, 
AO1OA,ASSETOWL LIMITED,0.001, 
AOWOA,AMERICAN PATRIOT OIL & GAS LIMITED,0.001, 
AOWOB,AMERICAN PATRIOT OIL & GAS LIMITED,0.005, 
APCOA,AUSTRALIAN POTASH LIMITED ,0.01, 
APLO,ANTIPODES GLOBAL INVESTMENT COMPANY LTD ,0.075, 
AQIO,ALICANTO MINERALS LIMITED ,0.015, 
ARCO,AUSTRALIAN RURAL CAPITAL LIMITED,0.24, 
ARDO,ARGENT MINERALS LIMITED ,0.004, 
ASNOB,ANSON RESOURCES LIMITED ,0.028, 
ATUO,ATRUM COAL LIMITED,0.015, 
AU1O,THE AGENCY GROUP AUSTRALIA LTD,0.002, 
AVLO,AUSTRALIAN VANADIUM LIMITED ,0.021, 
AVQO,AXIOM MINING LIMITED,0.011, 
AVZO,AVZ MINERALS LIMITED,0.085, 
BASOA,BASS OIL LIMITED,0.001, 
BCBO,BOWEN COKING COAL LIMITED ,0.001, 
BCNOB,BEACON MINERALS LIMITED ,0.005, 
BGTO,BIO-GENE TECHNOLOGY LTD ,0.035, 
BHDO,BENJAMIN HORNIGOLD LIMITED,0.046, 
BIDO,BIDENERGY LIMITED ,0.009, 
BITOA,BIOTRON LIMITED ,0.003, 
BITOB,BIOTRON LIMITED ,0.004, 
BKTOD,BLACK ROCK MINING LIMITED ,0.012, 
BLKOA,BLACKHAM RESOURCES LIMITED,0.018, 
BLYO,BOART LONGYEAR LIMITED,0.004, 
BMGOA,BMG RESOURCES LIMITED ,0.007, 
BPLO,BROKEN HILL PROSPECTING LIMITED ,0.052, 
BPPOA,BABYLON PUMP & POWER LIMITED,0.002, 
BRKO,BROOKSIDE ENERGY LIMITED,0.002, 
BSMOB,BASS METALS LTD ,0.007, 
BSROB,BASSARI RESOURCES LIMITED ,0.005, 
BYHO,BRYAH RESOURCES LIMITED ,0.017, 
CA8O,COASSETS LIMITED. ,0.011, 
CADO,CAENEUS MINERALS LTD,0.001, 
CAIO,CALIDUS RESOURCES LIMITED ,0.012, 
CAZO,CAZALY RESOURCES LIMITED,0.005, 
CDVOA,CARDINAL RESOURCES LIMITED,0.28, 
CDXO,CARDIEX LIMITED ,0.008, 
CHKO,COHIBA MINERALS LIMITED ,0.004, 
CLAO,CELSIUS RESOURCES LIMITED.,0.14, 
CLYO,CLANCY EXPLORATION LIMITED,0.001, 
